"";"Short";"Short2";"Genus_species";"Update1";"Update2";"Source1";"Source2";"Final"
"106";" M. attenuata";"M  attenuata";"Menidia attenuata";"Chirostoma attenuatum";NA;"FishBase";NA;NA
"107";"M. attenuata";"M  attenuata";"Menidia attenuata";"Chirostoma attenuatum";NA;"FishBase";NA;NA
"108";" M. chapalae";"M  chapalae";"Menidia chapalae";"Chirostoma chapalae";NA;"FishBase";NA;NA
"109";" M. charari";"M  charari";"Menidia charari";"Chirostoma charari";NA;"FishBase";NA;NA
"110";" M. consocia";"M  consocia";"Menidia consocia";"Chirostoma consocium";NA;"FishBase";NA;NA
"111";" M. estor";"M  estor";"Menidia estor";"Chirostoma estor";NA;"FishBase";NA;NA
"112";" M. humboldtiana";"M  humboldtiana";"Menidia humboldtiana";"Chirostoma humboldtianum";NA;"FishBase";NA;NA
"113";" M. jordani";"M  jordani";"Menidia jordani";"Chirostoma jordani";NA;"FishBase";NA;NA
"114";"M. jordani";"M  jordani";"Menidia jordani";"Chirostoma jordani";NA;"FishBase";NA;NA
"115";" M. labarca";"M  labarca";"Menidia labarcae";"Chirostoma labarcae";NA;"FishBase";NA;NA
"116";" M. mezquital";"M  mezquital";"Menidia mezquital";"Chirostoma jordani";NA;"FishBase";NA;NA
"117";" M. patzcuaro";"M  patzcuaro";"Menidia patzcuaro";"Chirostoma patzcuaro";NA;"FishBase";NA;NA
"118";" M. riojai";"M  riojai";"Menidia riojai";"Chirostoma riojai";NA;"FishBase";NA;NA
"119";"M. riojai";"M  riojai";"Menidia riojai";"Chirostoma riojai";NA;"FishBase";NA;NA
"120";" M. salmoides";"M  salmoides";"Micropterus salmoides";NA;NA;NA;NA;NA
"121";"M. salmoides";"M  salmoides";"Micropterus salmoides";NA;NA;NA;NA;NA
"122";" Menidia sp.";"Menidia sp ";"Menidia sp";"Chirostoma sp";NA;"FishBase";NA;NA
"123";" N. amecae";"N  amecae";"Notropis amecae";NA;NA;NA;NA;NA
"124";"nada";"nada";"none";NA;NA;NA;NA;NA
"125";"nada (localidad no propicia)";"nada  localidad no propicia";"none";NA;NA;NA;NA;NA
"126";"ninguno";"ninguno";"none";NA;NA;NA;NA;NA
"127";" no era la localidad buscada";"no era la localidad buscada";"none";NA;NA;NA;NA;NA
"128";" no hay vida acuática";"no hay vida acuatica";"none";NA;NA;NA;NA;NA
"129";" O. aureus";"O  aureus";"Oreochromis aureus";NA;NA;NA;NA;NA
"130";"O. aureus";"O  aureus";"Oreochromis aureus";NA;NA;NA;NA;NA
"131";"O. aureus (sin georreferencia)";"O  aureus  sin georreferencia";"Oreochromis aureus";NA;NA;NA;NA;NA
"132";"O. mossambicus";"O  mossambicus";"Oreochromis mossambicus";NA;NA;NA;NA;NA
"133";" O. niloticus";"O  niloticus";"Oreochromis niloticus";NA;NA;NA;NA;NA
"134";"O. niloticus";"O  niloticus";"Oreochromis niloticus";NA;NA;NA;NA;NA
"135";"observamos Oreochromis";"observamos Oreochromis";"Oreochromis sp";NA;NA;NA;NA;NA
"136";"Oreochromis sp.";"Oreochromis sp";"Oreochromis sp";NA;NA;NA;NA;NA
"137";" Oreochromis sp.";"Oreochromis sp ";"Oreochromis sp";NA;NA;NA;NA;NA
"138";" P. 'sphenops'";"P   sphenops ";"Poecilia sphenops";NA;NA;NA;NA;NA
"139";" P. baenschi";"P  baenschi";"Poeciliopsis baenschi";NA;NA;NA;NA;NA
"140";"P. baenschi";"P  baenschi";"Poeciliopsis baenschi";NA;NA;NA;NA;NA
"141";" P. balsas";"P  balsas";"Poeciliopsis balsas";NA;NA;NA;NA;NA
"142";" P. balsas)";"P  balsas ";"Poeciliopsis balsas";NA;NA;NA;NA;NA
"143";" P. butleri";"P  butleri";"Poecilia butleri";NA;NA;NA;NA;NA
"144";"P. butleri";"P  butleri";"Poecilia butleri";NA;NA;NA;NA;NA
"145";" P. butleri (1968)";"P  butleri  1968 ";"Poecilia butleri";NA;NA;NA;NA;NA
"146";" P. cf. butleri";"P  cf  butleri";"Poecilia cf butleri";NA;NA;NA;NA;NA
"147";" P. cf. sphenops";"P  cf  sphenops";"Poecilia cf sphenops";NA;NA;NA;NA;NA
"148";" P. chica";"P  chica";"Poecilia chica";NA;NA;NA;NA;NA
"149";" P. gracilis";"P  gracilis";"Poeciliopsis gracilis";NA;NA;NA;NA;NA
"150";" P. infans";"P  infans";"Poeciliopsis infans";NA;NA;NA;NA;NA
"151";"P. infans";"P  infans";"Poeciliopsis infans";NA;NA;NA;NA;NA
"152";" P. latipunctata";"P  latipunctata";"Poecilia latipunctata";NA;NA;NA;NA;NA
"153";" P. mexicana";"P  mexicana";"Poecilia mexicana";NA;NA;NA;NA;NA
"154";" P. mexicana(?)";"P  mexicana   ";"Poecilia mexicana";NA;NA;NA;NA;NA
"155";" P. nigromaculatus";"P  nigromaculatus";"Pomoxis nigromaculatus";NA;NA;NA;NA;NA
"156";" P. reticulata";"P  reticulata";"Poecilia reticulata";NA;NA;NA;NA;NA
"157";"P. reticulata";"P  reticulata";"Poecilia reticulata";NA;NA;NA;NA;NA
"158";" P. sphenops";"P  sphenops";"Poecilia sphenops";NA;NA;NA;NA;NA
"159";" P. turneri";"P  turneri";"Poeciliopsis turneri";NA;NA;NA;NA;NA
"160";" P. turrubarensis";"P  turrubarensis";"Poeciliopsis turrubarensis";NA;NA;NA;NA;NA
"161";" (P. turrubarensis)";"P  turrubarensis ";"Poeciliopsis turrubarensis";NA;NA;NA;NA;NA
"162";" P. viriosa";"P  viriosa";"Poeciliopsis viriosa";NA;NA;NA;NA;NA
"163";" P.cf. butleri";"P cf  butleri";"Poecilia cf butleri";NA;NA;NA;NA;NA
"164";" Poecilia cf. butleri";"Poecilia cf  butleri";"Poecilia cf butleri";NA;NA;NA;NA;NA
"165";"Poecilia cf. butleri";"Poecilia cf  butleri";"Poecilia cf butleri";NA;NA;NA;NA;NA
"166";" Poecilia cf. sphenops";"Poecilia cf  sphenops";"Poecilia cf sphenops";NA;NA;NA;NA;NA
"167";" Poecilia sp.";"Poecilia sp ";"Poecilia sp";NA;NA;NA;NA;NA
"168";" Poeciliopsis sp.";"Poeciliopsis sp ";"Poeciliopsis sp";NA;NA;NA;NA;NA
"169";" S. austrinus";"S  austrinus";"Scartomyzon austrinus";"Moxostoma austrinum";NA;"FishBase";NA;NA
"170";"S. austrinus";"S  austrinus";"Scartomyzon austrinus";"Moxostoma austrinum";NA;"FishBase";NA;NA
"171";" S. bilineata";"S  bilineata";"Skiffia bilineata";NA;NA;NA;NA;NA
"172";" S. francesae";"S  francesae";"Skiffia francesae";NA;NA;NA;NA;NA
"173";" S. francesae*";"S  francesae ";"Skiffia francesae";NA;NA;NA;NA;NA
"174";" S. lermae";"S  lermae";"Skiffia lermae";NA;NA;NA;NA;NA
"175";"S. lermae";"S  lermae";"Skiffia lermae";NA;NA;NA;NA;NA
"176";" S. multipunctatum";"S  multipunctatum";"Sicydium multipunctatum";NA;NA;NA;NA;NA
"177";"S. multipunctatum";"S  multipunctatum";"Sicydium multipunctatum";NA;NA;NA;NA;NA
"178";"son aguas negras";"son aguas negras";"none";NA;NA;NA;NA;NA
"179";" X. captivus";"X  captivus";"Xenoophorus captivus";NA;NA;NA;NA;NA
"180";"X. captivus";"X  captivus";"Xenoophorus captivus";NA;NA;NA;NA;NA
"181";" X. eiseni";"X  eiseni";"Xenotoca eiseni";NA;NA;NA;NA;NA
"182";" X. hellerii";"X  hellerii";"Xiphophorus hellerii";NA;NA;NA;NA;NA
"183";"X. hellerii";"X  hellerii";"Xiphophorus hellerii";NA;NA;NA;NA;NA
"184";" X. maculatus";"X  maculatus";"Xiphophorus maculatus";NA;NA;NA;NA;NA
"185";"X. maculatus";"X  maculatus";"Xiphophorus maculatus";NA;NA;NA;NA;NA
"186";" X. melanosoma";"X  melanosoma";"Xenotoca melanosoma";NA;NA;NA;NA;NA
"187";" X. resolanae";"X  resolanae";"Xenotaenia resolanae";NA;NA;NA;NA;NA
"188";" X. resolanane";"X  resolanane";"Xenotaenia resolanae";NA;NA;NA;NA;NA
"189";"  X. variata";"X  variata";"Xenotoca variata";NA;NA;NA;NA;NA
"190";" X. variata";"X  variata";"Xenotoca variata";NA;NA;NA;NA;NA
"191";"X. variata";"X  variata";"Xenotoca variata";NA;NA;NA;NA;NA
"192";" Xiphophorus variatus";"Xiphophorus variatus";"Xiphophorus variatus";NA;NA;NA;NA;NA
"193";" Y. alta";"Y  alta";"Yuriria alta";NA;NA;NA;NA;NA
"194";" Y. chapalae";"Y  chapalae";"Yuriria chapalae";NA;NA;NA;NA;NA
"195";"ya no existe";"ya no existe";"none";NA;NA;NA;NA;NA
"196";" Z. quitzeoensis";"Z  quitzeoensis";"Zoogoneticus quitzeoensis";NA;NA;NA;NA;NA
"197";"Z. quitzeoensis";"Z  quitzeoensis";"Zoogoneticus quitzeoensis";NA;NA;NA;NA;NA
"198";" Z. tequila";"Z  tequila";"Zoogoneticus tequila";NA;NA;NA;NA;NA
