"Genus_species","Previous","Updated","Regional_Status","Comment","Authority","IUCN_Status","Family"
"Poeciliopsis balsas","Poeciliopsis balsas","no","Extirpated",NA,"Poeciliopsis balsas Hubbs, 1926","Data Deficient","Poeciliidae"
"Poeciliopsis gracilis","Poeciliopsis gracilis","no","Introduced",NA,"Poeciliopsis gracilis (Heckel, 1848)","Least Concern","Poeciliidae"
"Poeciliopsis infans","Poeciliopsis infans","no","Native",NA,"Poeciliopsis infans (Woolman, 1894)","Least Concern","Poeciliidae"
"Poeciliopsis sp","Poeciliopsis sp","no","Native",NA,"Poeciliopsis Regan, 1913",NA,"	Poeciliidae"
"Poeciliopsis turneri","Poeciliopsis turneri","no","Native",NA,"Poeciliopsis turneri Miller, 1975","Data Deficient","Poeciliidae"
"Poeciliopsis turrubarensis","Poeciliopsis turrubarensis","no","Native",NA,"Poeciliopsis turrubarensis (Meek, 1912)","Least Concern","Poeciliidae"
"Poeciliopsis viriosa","Poeciliopsis viriosa","no","Native",NA,"Poeciliopsis viriosa Miller, 1960","Least Concern","Poeciliidae"
"Pomoxis nigromaculatus","Pomoxis nigromaculatus","no","Introduced",NA,"Pomoxis nigromaculatus (Lesueur, 1829)","Least Concern","Centrarchidae"
"Pseudoxiphophorus bimaculatus","Heterandria bimaculata","yes","Introduced",NA,"Pseudoxiphophorus bimaculatus (Heckel, 1848)","Least Concern","	Poeciliidae"
"Pseudoxiphophorus jonesii","Heterandria jonesii","yes","Introduced",NA,"Pseudoxiphophorus jonesii (Günther, 1874)","Least Concern","	Poeciliidae"
"Pseudoxiphophorus sp","Heterandria sp","yes","Introduced",NA,"Pseudoxiphophorus sp Bleeker, 1860",NA,"	Poeciliidae"
"Sicydium multipunctatum","Sicydium multipunctatum","no","Native",NA,"Sicydium multipunctatum Regan, 1906","Least Concern","Gobiidae"
"Skiffia francesae","Skiffia francesae","no","Extirpated",NA,"Skiffia francesae Kingston, 1978","Extinct in the Wild","Goodeidae"
"Skiffia lermae","Skiffia lermae","no","Native",NA,"Skiffia lermae Meek, 1902","Endangered","Goodeidae"
"Tampichthys dichroma","Dionda dichroma","yes","Native",NA,"Tampichthys dichromus (Hubbs & Miller, 1977)","Critically Endangered","Leuciscidae"
"Tampichthys mandibularis","Dionda mandibularis","yes","Extirpated","Said to be found in 2005 in paper 2018","Tampichthys mandibularis (Contreras-Balderas & Verduzco-Martínez, 1977)","Endangered","Leuciscidae"
"TBD1","Menidia consocia","yes","Extirpated","Check Catalog to decide between 2 options",NA,NA,"Atherinopsidae"
"TBD2","Menidia patzcuaro","yes","Native","Check Catalog to decide between 2 options",NA,NA,"Atherinopsidae"
"TBD3","Scartomyzon austrinus","yes","Native","Check Catalog to decide between 2 options",NA,NA,"Catostomidae"
"Xenoophorus captivus","Xenoophorus captivus","no","Native",NA,"Xenoophorus captivus (Hubbs, 1924)","Endangered","Goodeidae"
"Xenotaenia resolanae","Xenotaenia resolanae","no","Native",NA,"Xenotaenia resolanae Turner, 1946","Vulnerable","Goodeidae"
"Xenotoca eiseni","Xenotoca eiseni","no","Native",NA,"Xenotoca eiseni (Rutter, 1896)","Endangered","Goodeidae"
"Xenotoca melanosoma","Xenotoca melanosoma","no","Native",NA,"Xenotoca melanosoma Fitzsimons, 1972","Endangered","Goodeidae"
"Xenotoca variata","Xenotoca variata","no","Native",NA,"Xenotoca variata (Bean, 1887)","Least Concern","Goodeidae"
"Xiphophorus hellerii","Xiphophorus hellerii","no","Introduced",NA,"Xiphophorus hellerii Heckel, 1848","Least Concern","Poeciliidae"
"Xiphophorus maculatus","Xiphophorus maculatus","no","Introduced",NA,"Xiphophorus maculatus (Günther, 1866)","Data Deficient","Poeciliidae"
"Xiphophorus variatus","Xiphophorus variatus","no","Introduced",NA,"Xiphophorus variatus (Meek, 1904)","Least Concern","Poeciliidae"
"Yuriria alta","Yuriria alta","no","Extirpated",NA,"Yuriria alta (Jordan, 1880)","Endangered","Leuciscidae"
"Yuriria chapalae","Yuriria chapalae","no","Extirpated",NA,"Yuriria chapalae (Jordan & Snyder, 1899)","Endangered","Leuciscidae"
"Zoogoneticus quitzeoensis","Zoogoneticus quitzeoensis","no","Native",NA,"Zoogoneticus quitzeoensis (Bean, 1898)","Endangered","Goodeidae"
"Zoogoneticus tequila","Zoogoneticus tequila","no","Native",NA,"Zoogoneticus tequila Webb & Miller, 1998","Endangered","Goodeidae"
