"","Trip","Month","Year","SiteName","DrainageBasin","SiteNameII","Latitude","Longitude","CatalogNumbers","FieldNumbers","Collectors","HistoricalNatCatalog","CountHistNatCatalog","HistoricalNatBroad","CountHistNatBroad","AddedHistNat(B-C)","HistoricalExotics","DateCollected","NumberCollections","NativeFound2005","CountNat2005","NonExpectedNat?","NonExpectedNat","SameRichness","ExoticsFound2005","CountNonNat2005","RatioFound/Expected","Anectodics","Extint/ExtirpatedInLoc","Comments","SiteType","DrainageBasinE","SiteNameE"
"53",8,"10",2005,"laguna La Colorada","rio Ameca","Laguna La Colorada",20.77,-103.99,"UMMZ 173558","UMMZ - CLT39-15 ","Turner","A. tincella, G. atripinnis, M. jordani, P. infans, X. eiseni, X. melanosoma","6","A. tincella, G. atripinnis, M. jordani, P. infans, X. eiseni, X. melanosoma","6","0",NA,"1939",1,"ninguno","0",0,"–","1","O. niloticus","1","0",NA,NA,NA,"Shallow lake","Ameca River","La Colorada Lagoon"
"55",9,"11",2005,"rio Sta Maria","rio Panuco","Rio Santa Ma. en Santa Ma. Del Rio",21.8,-100.74,"UMMZ 108555","UMMZ - GWR32-2 ","Gordon et al","A. mexicanus, X. captivus, X. variata","3","A. mexicanus,  A. tincella,  G. atripinnis, X. captivus, X. variata","5","2",NA,"1932",1,"A. mexicanus, A. tincella, G. atripinnis, X. captivus, X. variata","5",2,"2",NA,NA,"0","1",NA,NA,NA,"Stream","Panuco River","Sta Maria River"
"56",9,"11",2005,"arroyo en Agua de Enmedio","El Salado","arroyo en Agua de Enmedio",22.84,-101.195,"UMMZ 118122","UMMZ - CLL34-6035","CL Lundell","X. captivus","1","X. captivus","1","0",NA,"1934",1,"X. captivus","1",0,"–","1","C. carpio","1","1",NA,NA,NA,"Stream","El Salado","Stream at Agua de Enmedio"
"58",9,"11",2005,"manantial en Puerta del Rio","rio Panuco","manantial en Puerta Del Rio",22.24,-100.26,"UMMZ 196341","UMMZ - RRM74-2 ","RR Miller","A. mexicanus, A. toweri, C. bartoni, C. labridens, D. dichroma, D. mandibularis, I. mexicanus","7","A. mexicanus, A. toweri, C. bartoni, C. labridens, D. dichroma, D. mandibularis, I. mexicanus","7","0",NA,"1974",1,"A. mexicanus, A. toweri, 'C'. bartoni, D. dichroma","4",0,"–","1","Oreochromis sp., P. mexicana","3","0.5714285714285714",NA,NA,NA,"Spring","Panuco River","Spring at Puerta del Rio"
"59",10,"11",2005,"trib. Ayuquila River N of Cofradia de Duendes","rio Armeria","tributario del Rio San Pedro",20.25,-104,"UMMZ 172216","UMMZ - RRM55-66","RR Miller","A. aeneus, A. zonistius, I. furcidens, P. infans","4","A. aeneus, A. zonistius, I. furcidens, P. infans","4","0",NA,"1955",1,"I. furcidens","1",0,"–","1","X. hellerii","1","0.25",NA,NA,NA,"Stream","Armeria River","Tributary to Ayuquila River"
"60",10,"11",2005,"rio Ayuquila","rio Armeria","Rio Ayuquila en Corcovado",19.85,-104.28,"UMMZ 230452","UMMZ - J*L86-20 ","John Lyons","A. zonistius","1","A. zonistius, A. aeneus, I. furcidens","3","2",NA,"1986",1,"A. aeneus","1",2,"2","1","Oreochromis sp.","1","0.33333333333333331","carpa, bagre y lobina",NA,NA,"Small river","Armeria River","Ayuquila River"
"61",10,"11",2005,"arroyo La Yerbabuena","rio Armeria","Rio La Yerbabuena",19.7,-104.21,"UMMZ 230442","UMMZ - J*L86-5 ","John Lyons","I. furcidens","1","A. aeneus, A. zonistius, I. furcidens, Poecilia cf. butleri","4","3",NA,"1986",NA,"A. aeneus, A. zonistius, I. furcidens, Poecilia cf. butleri","4",3,"3","1",NA,"0","1",NA,NA,"P. cf. butleri considerado nativo","Stream","Armeria River","La Yerbabuena Stream"
"62",10,"11",2005,"rio de Comala","rio Armeria","Rio de Comala en Comala",19.32,-103.755,"UMMZ 189593","UMMZ - RRM70-14 ","RR Miller","A. monticola, A. zonistius, I. furcidens, S. multipunctatum","4","A. monticola, A. zonistius, I. furcidens, S. multipunctatum","4","0",NA,"1970",1,"A. monticola, A. zonistius, I. furcidens","3",0,"–","1",NA,"0","0.75",NA,NA,NA,"Stream","Armeria River","De Comala River"
"63",10,"11",2005,"rio Ayutla","rio Armeria","Rio Ayutla",20.1,-104.31,"UMMZ 178364","UMMZ - RRM57-27 ","RR Miller","A. aphanea, I. furcidens, S. austrinus","3","A. aphanea, I. furcidens, S. austrinus","3","0",NA,"1957",1,"ninguno","0",0,"–","1","Oreochromis sp., P. cf. butleri","2","0",NA,NA,NA,"Small river","Armeria River","Ayutla River"
"64",11,"11",2005,"rio Lerma en Puerto del Valle","medio Lerma","Rio Lerma en Puerto Del Valle",20.49,-101.13,"UMMZ 187398","UMMZ - AJW91-3 ","AJ Woolman","A. tincella, X. variata","2","A. tincella, G. atripinnis, P. infans, X. variata","4","2",NA,"1891",1,"G. atripinnis, P. infans, X. variata","3",2,"2","1",NA,"0","0.75",NA,NA,NA,"Small river","Middle Lerma","Lerma River at Puerto del Valle"
"65",11,"11",2005,"rio Turbio cerca de El Nopal","medio Lerma","Rio Turbio cerca de El Nopal",20.37,-101.64,"UMMZ 192307","UMMZ - CDB69-51 ","Clyde Barbour","A. robustus, G. atripinnis, M. jordani, P. infans, X. variata","5","A. robustus, G. atripinnis, M. jordani, P. infans, S. bilineata, X. variata","6","1",NA,"1969",1,"G. atripinnis, S. bilineata","2",1,"1",NA,"O. aureus, P. reticulata, Poecilia sp.","3","0.33333333333333331",NA,NA,NA,"Stream","Middle Lerma","Turbio River close to El Nopal"
"68",11,"11",2005,"rio Gde. de Santiago en Ocotlan","rio Gde. de Santiago","Rio Grande de Sgo. en Ocotlan",20.34,-102.77,"UMMZ 108647","UMMZ - CLT32-45B ","Turner","A. popoche, A. tincella, A. robustus, C. encaustus, G. atripinnis, H. calientis, I. dugesii, M. chapalae, M. consocia, M. jordani, M. labarca, P. infans, S. bilineata, X. variata, Y. chapalae, Y. alta, Z. quitzeoensis","17","A. popoche, A. tincella, A. robustus, C. encaustus, G. atripinnis, H. calientis, I. dugesii, M. chapalae, M. consocia, M. jordani, M. labarca, P. infans, S. bilineata, X. variata, Y. chapalae, Y. alta, Z. quitzeoensis","17","0","C. carpio","1932",1,"ninguno","0",0,"–","1","G. yucatana","1","0",NA,NA,NA,"Small river","Grande de Santiago River","Grande de Santiago River at Ocotlan"
"70",11,"11",2005,"arroyo en Acatlan","lagunas de Sayula","canal en Acatlan",20.42,-103.59,"UMMZ 173568","UMMZ - CLT39-18 ","Turner","G. atripinnis, P. infans, X. melanosoma, Z. quitzeoensis","4","G. atripinnis, P. infans, X. melanosoma, Z. quitzeoensis","4","0",NA,"1939",1,"Z. quitzeoensis","1",0,"–","1","P. reticulata","1","0.25",NA,NA,NA,"Stream","Sayula Lagoons","Stream at Acatlan de Juarez"
"72",12,"12",2005,"rio 'San Pedro' en Belen del Refugio","rio Gde. de Santiago","Rio San Pedro en Belen del Refugio",21.54,-102.43,"UMMZ 179760","UMMZ - RRM61-28 ","RR Miller","A. tincella, G. atripinnis, H. calientis, M. arge, P. infans, S. austrinus, X. variata","7","A. tincella, G. atripinnis, H. calientis, M. arge, P. infans, S. austrinus, X. variata","7","0",NA,"1961",1,"ninguno","0",0,"–","1","Oreochromis sp., Heterandria sp.","2","0",NA,NA,NA,"Small river","Grande de Santiago River","San Pedro River at Belen del Refugio"
"78",12,"12",2005,"rio de La Laja en Atotonilco","medio Lerma","Rio de La Laja en Atotonilco",21,-100.79,"UMMZ 192339","UMMZ - CDB69-57 ","Clyde Barbour","G. atripinnis, H. calientis, M. arge, P. infans, X. variata, Y. alta","6","G. atripinnis, H. calientis, M. arge, P. infans, X. variata, Y. alta","6","0",NA,"1969",1,"G. atripinnis, P. infans, X. variata","3",0,"–","1","Oreochromis sp., Xiphophorus variatus","2","0.5",NA,NA,NA,"Small river","Middle Lerma","De La Laja en Atotonilco River"
"79",13,"12",2005,"manantial/balneario en Tocumbo","rio Balsas","manantial en Tocumbo",19.7,-102.51,"UMMZ 179226, 202428","UMMZ - Z179226 / UMMZ - D*K78-8","J Alvarez, D Kingston","C. pardalis","1","G. atripinnis, C. pardalis","2","1",NA,"1961 / 1978",2,"C. pardalis, G. atripinnis","2",1,"1","1","P. reticulata, X. hellerii","2","1",NA,NA,NA,"Modified spring","Balsas River","Spring at Tocumbo"
