"","Short","Short2","Genus_species","Synonym","Update","Update_comment","Genus_species_ECF"
"167","peces 'limpiadores'","peces  limpiadores","peces  limpiadores","FALSE",NA,NA,"peces  limpiadores"
"168"," Poecilia cf. butleri","Poecilia cf  butleri","Poecilia cf butleri","FALSE",NA,NA,"Poecilia cf butleri"
"169","Poecilia cf. butleri","Poecilia cf  butleri","Poecilia cf butleri","FALSE",NA,NA,"Poecilia cf butleri"
"170"," Poecilia cf. sphenops","Poecilia cf  sphenops","Poecilia cf sphenops","FALSE",NA,NA,"Poecilia cf sphenops"
"171"," Poecilia sp.","Poecilia sp ","Poecilia sp","FALSE",NA,NA,"Poecilia sp"
"172"," Poeciliopsis sp.","Poeciliopsis sp ","Poeciliopsis sp","FALSE",NA,NA,"Poeciliopsis sp"
"173"," S. austrinus","S  austrinus","Scartomyzon austrinus","TRUE","Moxostoma austrinum","ECF: Could be M austrinum or M milleri","Moxostoma austrinum"
"174","S. austrinus","S  austrinus","Scartomyzon austrinus","TRUE","Moxostoma austrinum","ECF: Could be M austrinum or M milleri","Moxostoma austrinum"
"175"," S. bilineata","S  bilineata","Skiffia bilineata","FALSE",NA,NA,"Skiffia bilineata"
"176"," S. francesae","S  francesae","Skiffia francesae","FALSE",NA,NA,"Skiffia francesae"
"177"," S. francesae*","S  francesae ","Skiffia francesae","FALSE",NA,NA,"Skiffia francesae"
"178"," S. lermae","S  lermae","Skiffia lermae","FALSE",NA,NA,"Skiffia lermae"
"179","S. lermae","S  lermae","Skiffia lermae","FALSE",NA,NA,"Skiffia lermae"
"180"," S. multipunctatum","S  multipunctatum","Sicydium multipunctatum","FALSE",NA,NA,"Sicydium multipunctatum"
"181","S. multipunctatum","S  multipunctatum","Sicydium multipunctatum","FALSE",NA,NA,"Sicydium multipunctatum"
"182","son aguas negras","son aguas negras","foul water",NA,NA,NA,"foul water"
"183"," 'trompos'","trompos ","trompos","FALSE",NA,NA,"trompos"
"184"," trucha arcoiris","trucha arcoiris","Oncorhynchus mykiss","FALSE",NA,NA,"Oncorhynchus mykiss"
"185","trucha arcoiris","trucha arcoiris","Oncorhynchus mykiss","FALSE",NA,NA,"Oncorhynchus mykiss"
"186"," X. captivus","X  captivus","Xenoophorus captivus","FALSE",NA,NA,"Xenoophorus captivus"
"187","X. captivus","X  captivus","Xenoophorus captivus","FALSE",NA,NA,"Xenoophorus captivus"
"188"," X. eiseni","X  eiseni","Xenotoca eiseni","FALSE",NA,NA,"Xenotoca eiseni"
"189"," X. hellerii","X  hellerii","Xiphophorus hellerii","FALSE",NA,NA,"Xiphophorus hellerii"
"190","X. hellerii","X  hellerii","Xiphophorus hellerii","FALSE",NA,NA,"Xiphophorus hellerii"
"191"," X. maculatus","X  maculatus","Xiphophorus maculatus","FALSE",NA,NA,"Xiphophorus maculatus"
"192","X. maculatus","X  maculatus","Xiphophorus maculatus","FALSE",NA,NA,"Xiphophorus maculatus"
"193"," X. melanosoma","X  melanosoma","Xenotoca melanosoma","FALSE",NA,NA,"Xenotoca melanosoma"
"194"," X. resolanae","X  resolanae","Xenotaenia resolanae","FALSE",NA,NA,"Xenotaenia resolanae"
"195"," X. resolanane","X  resolanane","Xenotaenia resolanae","FALSE",NA,NA,"Xenotaenia resolanae"
"196","  X. variata","X  variata","Xenotoca variata","FALSE",NA,NA,"Xenotoca variata"
"197"," X. variata","X  variata","Xenotoca variata","FALSE",NA,NA,"Xenotoca variata"
"198","X. variata","X  variata","Xenotoca variata","FALSE",NA,NA,"Xenotoca variata"
"199"," Xiphophorus variatus","Xiphophorus variatus","Xiphophorus variatus","FALSE",NA,NA,"Xiphophorus variatus"
"200"," Y. alta","Y  alta","Yuriria alta","FALSE",NA,NA,"Yuriria alta"
"201"," Y. chapalae","Y  chapalae","Yuriria chapalae","FALSE",NA,NA,"Yuriria chapalae"
"202","ya no existe","ya no existe","ceased to exist",NA,NA,NA,"ceased to exist"
"203"," Z. quitzeoensis","Z  quitzeoensis","Zoogoneticus quitzeoensis","FALSE",NA,NA,"Zoogoneticus quitzeoensis"
"204","Z. quitzeoensis","Z  quitzeoensis","Zoogoneticus quitzeoensis","FALSE",NA,NA,"Zoogoneticus quitzeoensis"
"205"," Z. tequila","Z  tequila","Zoogoneticus tequila","FALSE",NA,NA,"Zoogoneticus tequila"
